id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7738165,Condo in Florence · ★4.88 · 1 bedroom · 3 beds · 1 bath,9641979,Ilaria,,Centro Storico,43.7682,11.25578,Entire home/apt,218,2,227,2023-08-29,2.31,6,299,39,048017LTI4350
7739792,Rental unit in Florence · 3 bedrooms · 5 beds · 2 baths,9209562,Manuel,,Isolotto Legnaia,43.77136,11.2241,Entire home/apt,1600,1,0,,,5,348,0,
7744831,Rental unit in Florence · ★4.70 · Studio · 1 bed · 1 bath,40709080,Nicola,,Centro Storico,43.77519,11.24777,Entire home/apt,70,2,70,2023-07-29,0.77,1,1,30,
7754129,Resort in Florence · ★4.33 · 1 bedroom · 2 beds · 1 private bath,40769134,Gianluca,,Gavinana Galluzzo,43.759,11.22741,Private room,224,15,4,2019-05-29,0.05,1,0,0,
7769397,Rental unit in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,40865615,Cosimo,,Centro Storico,43.77437,11.26574,Entire home/apt,115,2,32,2023-02-18,0.33,1,200,2,
7773205,Rental unit in Florence · ★4.0 · 1 bedroom · 1 bed · 1 bath,40889517,Chiara,,Rifredi,43.80819,11.24435,Entire home/apt,28,2,5,2016-01-03,0.05,1,0,0,
7779943,Rental unit in Florence · ★4.68 · 1 bedroom · 4 beds · 1 bath,15883783,Andrea,,Centro Storico,43.77348,11.25173,Entire home/apt,65,2,126,2017-10-29,1.30,1,0,0,
7788720,Loft in Florence · ★4.86 · 1 bedroom · 1 bath,34920124,Ada,,Centro Storico,43.77267,11.25302,Entire home/apt,93,3,331,2023-08-29,3.42,2,106,39,
7812609,Rental unit in Florence · ★4.67 · 1 bedroom · 1 bed · 1 bath,21290424,Alessio,,Campo di Marte,43.78318,11.28718,Private room,25,3,3,2015-09-15,0.03,1,0,0,
7817331,Loft in Florence · ★4.87 · 1 bedroom · 2 beds · 1 bath,41155959,Andrea,,Centro Storico,43.77365,11.26298,Entire home/apt,89,3,342,2023-09-09,3.59,1,279,36,7817331
7819692,Rental unit in Florence · ★4.66 · 2 bedrooms · 4 beds · 1 bath,9903656,Lorenzo,,Centro Storico,43.77536,11.23794,Entire home/apt,143,3,67,2023-09-07,0.69,3,228,7,
7853723,Rental unit in Florence · 2 bedrooms · 5 beds · 2 baths,41386034,Leonardo,,Gavinana Galluzzo,43.761169,11.28768,Entire home/apt,46,80,1,2022-09-30,0.09,1,342,1,
7855847,Rental unit in Florence · ★4.74 · 2 bedrooms · 6 beds · 2 baths,5233183,Barbara,,Centro Storico,43.764,11.2571,Entire home/apt,90,4,35,2023-01-02,0.37,3,5,1,
7889631,Rental unit in Florence · ★4.75 · 1 bedroom · 2 beds · 1 private bath,30779305,Nicoletta,,Centro Storico,43.77291,11.26711,Private room,70,3,99,2023-09-10,1.02,5,37,38,
7905958,Rental unit in Florence · ★4.82 · 1 bedroom · 1 bed · 1 bath,41687337,Stefano,,Centro Storico,43.779739,11.237907,Entire home/apt,80,2,119,2022-11-13,1.23,1,77,9,
7934293,Home in Florence · ★4.86 · 1 bedroom · 2 beds · 1 private bath,34440922,Claudia,,Gavinana Galluzzo,43.75959,11.28167,Private room,69,4,104,2023-08-24,1.20,3,115,9,
7960184,Boutique hotel in Florence · ★4.41 · 1 bedroom · 2 beds · 1 private bath,41985760,Residenze D'Epoca Collection,,Centro Storico,43.77128,11.25957,Private room,241,1,131,2023-08-31,2.37,25,267,51,
7963267,Rental unit in Florence · ★4.87 · 2 bedrooms · 4 beds · 2 baths,42009638,Stefano,,Campo di Marte,43.77485,11.27201,Entire home/apt,99,2,54,2019-12-08,0.58,1,0,0,22345
7963970,Rental unit in Florence · ★4.89 · Studio · 1 bed · 1 bath,42016928,Maria Paola,,Centro Storico,43.76699,11.25125,Entire home/apt,114,3,588,2023-09-04,6.02,1,286,73,
7967506,Boutique hotel in Florence · ★3.93 · 1 bedroom · 1 bed · 1 private bath,41985760,Residenze D'Epoca Collection,,Centro Storico,43.77113,11.2593,Private room,208,1,31,2023-08-11,0.41,25,192,12,
7979362,Rental unit in Florence · ★4.52 · 2 bedrooms · 4 beds · 1 bath,7439057,Rita E Gisella,,Campo di Marte,43.77044,11.27217,Entire home/apt,199,1,25,2023-07-26,0.26,34,183,4,
7980211,Rental unit in Florence · ★4.75 · 2 bedrooms · 3 beds · 1 bath,7429422,Federico,,Centro Storico,43.76987,11.25374,Entire home/apt,70,2,200,2020-02-16,2.27,1,0,0,
7988000,Guest suite in Florence · ★4.83 · 1 bedroom · 1 bed · 1 private bath,42158775,Marta,,Centro Storico,43.77447,11.24292,Private room,60,2,12,2017-06-25,0.12,1,0,0,
7996707,Boutique hotel in Florence · ★4.29 · 1 bedroom · 2 beds · 1 private bath,41985760,Residenze D'Epoca Collection,,Centro Storico,43.77118,11.25903,Private room,233,1,87,2023-05-30,1.28,25,259,22,
8005885,Rental unit in Florence · ★4.85 · 1 bedroom · 1 bed · 1 bath,42268746,Michele & Caterina,,Centro Storico,43.77128,11.26183,Entire home/apt,150,2,228,2023-09-04,2.35,3,134,53,
8008986,Rental unit in Florence · ★4.64 · 1 bedroom · 3 beds · 1 shared bath,6000414,Christine,,Rifredi,43.78744,11.25168,Private room,35,30,200,2022-09-01,2.09,3,131,0,
8010163,Home in Florence · ★New · 1 bedroom · 1 bed · 2 baths,9813775,Sara,,Isolotto Legnaia,43.77034,11.20849,Entire home/apt,203,1,0,,,1,364,0,
8023061,Boutique hotel in Florence · ★4.52 · 1 bedroom · 3 beds · 1 private bath,41985760,Residenze D'Epoca Collection,,Centro Storico,43.7722,11.2594,Private room,272,1,106,2023-09-09,1.92,25,268,44,
8023148,Rental unit in Florence · ★4.52 · 1 bedroom · 1 bath,32177710,Giuseppe,,Centro Storico,43.76654,11.24884,Entire home/apt,120,2,29,2023-02-14,0.30,2,0,12,
8048932,Condo in Florence · ★4.90 · 1 bedroom · 3 beds · 1 bath,42504871,Sara,,Campo di Marte,43.76986,11.27355,Entire home/apt,130,3,104,2023-07-29,1.28,1,131,17,
8057073,Rental unit in Florence · ★4.80 · 1 bedroom · 5 beds · 1 bath,42557588,Alessia Helen,,Centro Storico,43.77283,11.26622,Entire home/apt,126,2,296,2023-09-08,3.04,1,18,55,
8062307,Rental unit in Florence · ★4.74 · 1 bedroom · 1 bed · 1 bath,42582678,Donella,,Centro Storico,43.78352,11.23924,Entire home/apt,75,2,202,2023-09-09,2.20,2,165,12,
8074640,Rental unit in Florence · ★4.78 · 1 bedroom · 2 beds · 1 private bath,5104015,Francesco,,Centro Storico,43.77809,11.25474,Private room,110,2,472,2023-09-03,4.97,13,320,87,
8081827,Home in Florence · ★4.86 · 1 bedroom · 2 beds · 1 private bath,34440922,Claudia,,Gavinana Galluzzo,43.76019,11.28251,Private room,69,4,76,2023-08-22,0.78,3,1,3,
8093716,Rental unit in Florence · ★4.92 · 1 bedroom · 1 bed · 1 bath,1527944,Giovanni,,Centro Storico,43.78066,11.2565,Entire home/apt,198,2,385,2023-09-07,3.97,5,25,55,
8104785,Rental unit in Florence · ★4.84 · 2 bedrooms · 2 beds · 1 bath,27766253,Laura,,Centro Storico,43.77136,11.26292,Entire home/apt,150,3,263,2023-09-10,2.99,8,195,38,
8108550,Rental unit in Florence · ★4.72 · 3 bedrooms · 4 beds · 3 baths,26830685,Gaia&Pietro,,Centro Storico,43.77137,11.2508,Entire home/apt,394,3,162,2023-09-06,1.68,7,79,34,
8110549,Home in Settignano · ★4.93 · 1 bedroom · 2 beds · 1 bath,3049351,Caminxa,,Campo di Marte,43.78264,11.32005,Entire home/apt,102,1,14,2023-07-31,0.91,2,342,7,
8114565,Bed and breakfast in Florence · 1 bedroom · 1 bed · 1 private bath,42848717,Niccolò,,Centro Storico,43.78096,11.24296,Private room,130,2,1,2015-09-27,0.01,1,316,0,
8121632,Rental unit in Florence · ★5.0 · 1 bedroom · 2 beds · 1 bath,37814294,Iacopo,,Rifredi,43.7894,11.2395,Entire home/apt,66,2,7,2017-10-21,0.08,1,12,0,
8123266,Rental unit in Florence · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,26567697,Silvia,,Centro Storico,43.76959,11.24679,Entire home/apt,150,3,196,2023-07-26,2.15,1,114,31,
8137979,Rental unit in Florence · 1 bedroom · 1 bed · 1 private bath,42972746,Sabrina,,Centro Storico,43.76708,11.24966,Private room,100,2,2,2022-09-11,0.04,6,268,0,
8142822,Rental unit in Florence · ★4.84 · 1 bedroom · 3 beds · 1 bath,15960426,Guidetta,,Centro Storico,43.77125,11.26063,Entire home/apt,172,1,69,2023-07-28,0.76,6,222,19,
8154752,Rental unit in Florence · ★4.86 · 1 bedroom · 2 beds · 1 private bath,5104015,Francesco,,Centro Storico,43.77643,11.25629,Private room,119,2,551,2023-09-02,5.82,13,314,78,
8164781,Bed and breakfast in Florence · ★4.82 · 1 bedroom · 1 bed · 1 private bath,5851277,Beatrice,,Gavinana Galluzzo,43.75149,11.2434,Private room,80,2,11,2019-09-24,0.12,2,228,0,
8165945,Rental unit in Florence · ★4.84 · 2 bedrooms · 2 beds · 2 baths,22330447,Shelby And Nicco,,Centro Storico,43.76867,11.25329,Entire home/apt,250,3,172,2023-08-27,1.77,4,230,39,
