id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
936378892657244616,Rental unit in Anderlecht · ★New · 1 bedroom · 2 beds · 1 bath,25584692,Asher & Irina,,Anderlecht,50.8386578,4.329650099999999,Entire home/apt,61,2,2,2023-08-13,1.54,1,0,2,
936634904584919799,Rental unit in Saint-Gilles · ★New · 1 bedroom · 2 beds · 1 bath,216803298,Daiane,,Saint-Gilles,50.83035110201293,4.3405097576718115,Entire home/apt,80,2,0,,,3,89,0,
936644438013441407,Rental unit in Etterbeek · ★New · 1 bedroom · 1 bed · 1 bath,20973036,Wladimir,,Etterbeek,50.8279,4.38328,Entire home/apt,95,3,0,,,2,0,0,
936687183873286567,Home in Saint-Josse-ten-Noode · ★New · 1 bedroom · 1 bed · 1 bath,31322881,Victor,,Saint-Josse-ten-Noode,50.854232864977675,4.37223525716929,Entire home/apt,100,5,0,,,1,0,0,
936791866723944292,Rental unit in Bruxelles · ★New · 1 bedroom · 1 bed · 1.5 shared baths,217069988,Adam,,Bruxelles,50.8493655,4.3853403,Private room,29,1,0,,,1,44,0,
936835720026423337,Rental unit in Etterbeek · ★4.67 · 1 bedroom · 2 beds · 1 bath,526029232,Dorian,,Etterbeek,50.83396,4.39257,Entire home/apt,87,1,3,2023-08-31,1.88,1,262,3,
936933099178776660,Rental unit in Ixelles · ★New · 1 bedroom · 1 bed · 1 bath,29770864,Cristina,,Ixelles,50.823094245555325,4.364188960504146,Entire home/apt,113,1,0,,,1,178,0,
936968855305785913,Rental unit in Forest · ★4.70 · 1 bedroom · 3 beds · 1.5 baths,507802475,Anne,,Uccle,50.81245,4.3473,Entire home/apt,94,2,23,2023-09-10,11.69,3,50,23,
937349760027953253,Villa in Uccle · ★5.0 · 4 bedrooms · 7 beds · 6 baths,12670953,Erion,,Uccle,50.79317167572642,4.3363972236006285,Entire home/apt,643,2,4,2023-09-13,4,1,0,4,
937433178985194928,Rental unit in Schaerbeek · ★New · 1 bedroom · 1 bed · 1 bath,526212287,Raghd,,Schaerbeek,50.84613392557016,4.401592542955725,Private room,38,3,2,2023-08-24,1.50,1,61,2,
937534748741631913,Home in Watermael-Boitsfort · ★New · 1 bedroom · 1 bed · 1 bath,9847492,Frederic,,Watermael-Boitsfort,50.789164067289434,4.42096795392485,Entire home/apt,53,90,0,,,1,195,0,
937655507162279271,Rental unit in Molenbeek-Saint-Jean · ★4.50 · 1 bedroom · 2 beds · 1.5 baths,50597948,Nidal,,Molenbeek-Saint-Jean,50.8525428972819,4.328431682890449,Entire home/apt,113,3,4,2023-08-28,2.14,1,73,4,
938019203747309534,Rental unit in Anderlecht · ★4.33 · 1 bedroom · 1 bed · 1 bath,228397887,Ameer,,Anderlecht,50.83956,4.33527,Entire home/apt,68,2,3,2023-08-27,1.58,2,77,3,
938165713193405899,Rental unit in Bruxelles · ★4.25 · 2 bedrooms · 4 beds · 2 baths,132364718,Tarek,,Bruxelles,50.816729925513414,4.372262629243018,Entire home/apt,176,2,4,2023-09-11,2.22,1,69,4,
938194770036313899,Rental unit in Saint-Gilles · ★4.80 · 1 bedroom · 2 beds · 1.5 baths,30527420,Natacha,,Saint-Gilles,50.82318,4.35291,Entire home/apt,53,2,5,2023-08-28,2.88,1,144,5,
938242544834633571,Rental unit in Bruxelles · ★5.0 · 1 bedroom · 1 bed · 1 bath,137465399,Mathilde,,Bruxelles,50.87762,4.35495,Entire home/apt,79,1,3,2023-09-03,1.80,1,284,3,
938296996895676452,Rental unit in Bruxelles · ★New · 1 bedroom · 1 bed · 1 private bath,4421317,Sarah,,Bruxelles,50.8733231,4.350607999999999,Private room,106,1,2,2023-08-06,1.33,2,364,2,
938430823998541806,Rental unit in Bruxelles · ★New · 2 bedrooms · 2 beds · 1.5 baths,34797666,Leo,,Bruxelles,50.89049,4.38615,Entire home/apt,45,1,1,2023-08-05,0.68,1,247,1,
938446667415005787,Rental unit in Forest · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,15306683,Maher,,Forest,50.8198008,4.3384288,Private room,95,3,4,2023-09-05,2.50,1,29,4,
938495824488908424,Rental unit in Molenbeek-Saint-Jean · ★4.83 · 1 bedroom · 1 bed · 1 bath,8570540,Ludovic,,Anderlecht,50.84788,4.30206,Private room,47,1,6,2023-09-12,3.16,1,86,6,
938510399718471683,Rental unit in Saint-Gilles · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,81509288,Joachim,,Saint-Gilles,50.82499,4.34447,Private room,43,2,6,2023-09-14,5.14,1,24,6,
938929840721674672,Rental unit in Forest · ★4.88 · 1 bedroom · 2 beds · 1.5 baths,15816010,Alexandre,,Forest,50.8206177,4.325393399999999,Entire home/apt,55,2,8,2023-09-08,4.71,1,39,8,
938967900335933643,Rental unit in Bruxelles · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,511362673,Ahmed,,Bruxelles,50.84533,4.35024,Private room,82,2,9,2023-09-06,6.00,4,229,9,
938977015598597423,Rental unit in Ixelles · ★New · 1 bedroom · 1 bed · 1 bath,105737399,Maxime,,Ixelles,50.8068039,4.3879424,Entire home/apt,110,2,0,,,1,60,0,
939046812063386813,Rental unit in Etterbeek · ★New · 3 bedrooms · 2 beds · 1.5 baths,17801328,Chloe,,Etterbeek,50.82997,4.39304,Entire home/apt,150,7,1,2023-09-14,1,2,262,1,
939060969729523736,Rental unit in Bruxelles · ★New · 1 bedroom · 1 bed · 1 bath,419323526,Edith,,Bruxelles,50.84941276808744,4.351857910332507,Entire home/apt,58,30,0,,,49,55,0,
939061439447833871,Rental unit in Anderlecht · ★New · 1 bedroom · 1 bed · 1 bath,445534753,Chris,,Anderlecht,50.83054,4.302,Entire home/apt,69,30,0,,,35,16,0,
939088307732442871,Rental unit in Bruxelles · ★New · Studio · 3 beds · 1 bath,451803176,Gabs,,Bruxelles,50.887860460744385,4.343995174203585,Entire home/apt,88,1,2,2023-08-25,1.09,16,40,2,
939095230383323912,Rental unit in Schaerbeek · ★4.40 · Studio · 1 bed · 1 bath,466552283,Gabby,,Schaerbeek,50.86825012695299,4.385095427816894,Entire home/apt,62,1,5,2023-08-21,3.06,22,28,5,
939100334894281371,Bed and breakfast in Bruxelles · ★New · 1 bedroom · 1 bed · 1.5 baths,14904334,Rime Barbara,,Bruxelles,50.81487843525255,4.372986008177523,Private room,64,2,1,2023-08-06,0.70,4,242,1,
939164214628648291,Rental unit in Saint-Josse-ten-Noode · ★3.33 · 3 bedrooms · 4 beds · 1.5 baths,71428619,Zoltán,,Saint-Josse-ten-Noode,50.85513,4.37054,Entire home/apt,105,2,3,2023-08-27,1.80,1,0,3,
939257047845240067,Rental unit in Saint-Gilles · ★New · 3 bedrooms · 3 beds · 1 bath,526245180,Novisa,,Saint-Gilles,50.82549,4.3459,Entire home/apt,197,2,1,2023-08-31,1,5,21,1,
939309613052644806,Rental unit in Etterbeek · ★4.91 · 1 bedroom · 2 beds · 1 bath,125420553,Prescila,,Etterbeek,50.82875157478078,4.39116950959123,Entire home/apt,89,2,11,2023-08-31,6.23,1,0,11,
